Gobernador	Estado	Predecesor	Partido	Toma de posesión
Kay Ivey	Alabama	Lista	Republicano	10 de abril de 2017
Mike Dunleavy	Alaska	Lista	Republicano	3 de diciembre de 2018
Doug Ducey	Arizona	Lista	Republicano	5 de enero de 2015
Asa Hutchinson	Arkansas	Lista	Republicano	13 de enero de 2015
Gavin Newsom	California	Lista	Demócrata	7 de enero de 2019
Jared Polis	Colorado	Lista	Demócrata	8 de enero de 2019
Ned Lamont	Connecticut	Lista	Demócrata	9 de enero de 2019
John Carney	Delaware	Lista	Demócrata	17 de enero de 2017
Ron DeSantis	Florida	Lista	Republicano	8 de enero de 2019
Brian Kemp	Georgia	Lista	Republicano	14 de enero de 2019
David Ige	Hawái	Lista	Demócrata	1 de diciembre de 2014
Brad Little	Idaho	Lista	Republicano	7 de enero de 2019
J.D Pritzker	Illinois	Lista	Demócrata	14 de enero de 2019
Eric Holcomb	Indiana	Lista	Republicano	9 de enero de 2017
Kim Reynolds	Iowa	Lista	Republicano	24 de mayo de 2017
Laura Kelly	Kansas	Lista	Demócrata	14 de enero de 2019
Andy Beshear	Kentucky	Lista	Demócrata	10 de diciembre de 2019
John Bel Edward	Luisiana	Lista	Demócrata	11 de enero de 2016
Janet Mills	Maine	Lista	Demócrata	2 de enero de 2019
Larry Hogan	Maryland	Lista	Republicano	21 de enero de 2015
Charlie Baker	Massachusetts	Lista	Republicano	8 de enero de 2015
Gretchen Whitme	Michigan	Lista	Demócrata	1 de enero de 2019
Tim Walz	Minnesota	Lista	Demócrata	7 de enero de 2019
Tate Reeves	Misisipi	Lista	Republicano	14 de enero de 2020
Mike Parson	Misuri	Lista	Republicano	1 de junio de 2018
Steve Bullock	Montana	Lista	Demócrata	7 de enero de 2013
Pete Ricketts	Nebraska	Lista	Republicano	8 de enero de 2015
Steve Sisolak	Nevada	Lista	Demócrata	7 de enero de 2019
Chris Sununu	Nuevo Hampshire	Lista	Republicano	5 de enero de 2017
Phil Murphy	Nueva Jersey	Lista	Demócrata	16 de enero de 2018
Michelle Lujan Grisham	Nuevo México	Lista	Demócrata	1 de enero de 2019
Andrew Cuomo	Nueva York	Lista	Demócrata	1 de enero de 2011
Roy Cooper	Carolina del Norte	Lista	Demócrata	1 de enero de 2017
Doug Burgum	Dakota del Norte	Lista	Republicano	15 de diciembre de 2016
Mike DeWine	Ohio	Lista	Republicano	14 de enero de 2019
Kevin Stitt	Oklahoma	Lista	Republicano	14 de enero de 2019
Kate Brown	Oregón	Lista	Demócrata	18 de febrero de 2015
Tom Wolf	Pensilvania	Lista	Demócrata	20 de enero de 2015
Gina Raimondo	Rhode Island	Lista	Demócrata	6 de enero de 2015
Henry McMaster	Carolina del Sur	Lista	Republicano	24 de enero de 2017
Kristi Noem	Dakota del Sur	Lista	Republicano	5 de enero de 2019
Bill Lee	Tennessee	Lista	Republicano	19 de enero de 2019
Greg Abbott	Texas	Lista	Republicano	20 de enero de 2015
Gary R. Herbert	Utah	Lista	Republicano	11 de agosto de 2009
Phil Scott	Vermont	Lista	Republicano	5 de enero de 2017
Ralph Northam	Virginia	Lista	Demócrata	13 de enero de 2018
Jay Inslee	Washington	Lista	Demócrata	16 de enero de 2013
Jim Justice	Virginia Occidental	Lista	Republicano	16 de enero de 2017
Tony Evers	Wisconsin	Lista	Demócrata	7 de enero de 2019
Mark Gordon	Wyoming	Lista	Republicano	7 de enero de 2019
