state	density
Alabama	96.9221
Alaska	1.2863
Arizona	64.9549
Arkansas	58.4030
California	256.3728
Colorado	56.4012
Connecticut	735.8695
Delaware	504.3073
Florida	410.1259
Georgia	186.6726
Hawaii	219.9424
Idaho	22.0970
Illinois	228.0246
Indiana	188.2809
Iowa	56.9284
Kansas	35.5968
Kentucky	113.9566
Louisiana	107.5174
Maine	43.6336
Maryland	626.6735
Massachusetts	894.4359
Michigan	177.6650
Minnesota	71.5922
Mississippi	63.7056
Missouri	89.7453
Montana	7.4668
Nebraska	25.4161
Nevada	28.5993
New Hampshire	153.1610
New Jersey	1215.1985
New Mexico	17.2850
New York	412.5218
North Carolina	218.2710
North Dakota	11.0393
Ohio	287.5040
Oklahoma	57.6546
Oregon	44.8086
Pennsylvania	286.5454
Rhode Island	1021.4313
South Carolina	173.3176
South Dakota	11.9116
Tennessee	167.2749
Texas	112.8204
Utah	39.9430
Vermont	68.1416
Virginia	218.4404
Washington	117.3273
West Virginia	73.9691
Wisconsin	108.0496
Wyoming	5.8400
