Alabama	16.0
Alaska	12.2
Arizona	14.4
Arkansas	15.5
California	12.5
Colorado	8.9
Connecticut	9.9
Delaware	9.6
Florida	13.6
Georgia	14.7
Hawaii	9.5
Idaho	11.3
Illinois	10.9
Indiana	11.8
Iowa	9.2
Kansas	10.8
Kentucky	15.3
Louisiana	19.8
Maine	12.6
Maryland	7.1
Massachusetts	9.8
Michigan	11.0
Minnesota	8.7
Mississippi	19.8
Missouri	11.9
Montana	10.4
Nebraska	10.4
Nevada	12.2
New Hampshire	6.4
New Jersey	9.1
New Mexico	18.7
New York	11.8
North Carolina	14.1
North Dakota	10.9
Ohio	12.8
Oklahoma	14.0
Oregon	10.6
Pennsylvania	11.5
Rhode Island	10.3
South Carolina	14.1
South Dakota	11.8
Tennessee	12.6
Texas	13.7
Utah	7.9
Vermont	9.6
Virginia	10.7
Washington	10.3
West Virginia	17.2
Wisconsin	9.5
Wyoming	11.4
